date,issue_id,title,new_reactions,new_comments,issue_url
2024-02-14,flutter/flutter#28310,"Need a way to make synchronous calls from plugin platform code to Dart code",0,0,https://github.com/flutter/flutter/issues/28310
2024-02-14,flutter/flutter#32082,"[PlatformView][Android] - Not able to render on SurfaceView using Secure Decoder ",0,0,https://github.com/flutter/flutter/issues/32082
2024-02-14,flutter/flutter#33798,"[iOS 13] new fullscreen stack type route transition",0,0,https://github.com/flutter/flutter/issues/33798
2024-02-14,flutter/flutter#36936,"Why TableRow doesn't support  center,width and height params?",0,0,https://github.com/flutter/flutter/issues/36936
2024-02-14,flutter/flutter#37287,"Simple improvement to ""flutter upgrade"" for error situations",0,0,https://github.com/flutter/flutter/issues/37287
2024-02-14,flutter/flutter#37987,"Enable hot restart on profile mode",0,0,https://github.com/flutter/flutter/issues/37987
2024-02-14,flutter/flutter#42609,"Add Tap Handlers to `TableRow`",0,0,https://github.com/flutter/flutter/issues/42609
2024-02-14,flutter/flutter#44681,"Prevent soft keyboard to show when physical keyboard is used",0,0,https://github.com/flutter/flutter/issues/44681
2024-02-14,flutter/flutter#46233,"Rendering order inside Grid/ListView",0,0,https://github.com/flutter/flutter/issues/46233
2024-02-14,flutter/flutter#46979,"Support different dependencies when using flavors",0,0,https://github.com/flutter/flutter/issues/46979
2024-02-14,flutter/flutter#49878,"Circular widget with wrap text inside",0,0,https://github.com/flutter/flutter/issues/49878
2024-02-14,flutter/flutter#53745,"[web] Uncaught (in promise) TypeError: Failed to fetch ( Actual Error message not shown because service worker exception is not handled)",0,0,https://github.com/flutter/flutter/issues/53745
2024-02-14,flutter/flutter#54200,"allow Hero widgets to have transitions within the same screen",0,0,https://github.com/flutter/flutter/issues/54200
2024-02-14,flutter/flutter#55720,"Locale parser",0,0,https://github.com/flutter/flutter/issues/55720
2024-02-14,flutter/flutter#56665,"[video_player] Better exception message on iOS devices if the video fails to play",0,0,https://github.com/flutter/flutter/issues/56665
2024-02-14,flutter/flutter#61340,"[iOS]  UiKitView will be rendered with borders.",0,0,https://github.com/flutter/flutter/issues/61340
2024-02-14,flutter/flutter#63209,"[feature-request] Support pen pressure and pointer kinds on Linux",0,0,https://github.com/flutter/flutter/issues/63209
2024-02-14,flutter/flutter#63323,"Code generation experience needs improvements",0,0,https://github.com/flutter/flutter/issues/63323
2024-02-14,flutter/flutter#64156,"InteractiveViewer double tap to zoom",0,0,https://github.com/flutter/flutter/issues/64156
2024-02-14,flutter/flutter#64157,"NestedScrollView in DraggableScrollableSheet not working",0,0,https://github.com/flutter/flutter/issues/64157
2024-02-14,flutter/flutter#67034,"Flutter Fonts are not rendering correctly, Antialiasing is doubled on desktop",0,0,https://github.com/flutter/flutter/issues/67034
2024-02-14,flutter/flutter#68017,"DropdownButton very slow on first opening",0,0,https://github.com/flutter/flutter/issues/68017
2024-02-14,flutter/flutter#74806,"Title Bar widget & Buttons for Window - for Desktop Platforms",0,0,https://github.com/flutter/flutter/issues/74806
