id,title,start,end,total_reactions,total_comments,new_reactions,new_comments
[`flutter/flutter#42332`](https://github.com/flutter/flutter/issues/42332),"2D TreeView widget",2024-01-24,2024-02-06,44,4,2,1
[`flutter/flutter#29021`](https://github.com/flutter/flutter/issues/29021),"Expo like tool for flutter",2024-01-24,2024-02-06,265,76,2,0
[`flutter/flutter#63500`](https://github.com/flutter/flutter/issues/63500),"Web Cache invalidation based on Build Number",2024-01-24,2024-02-06,61,67,2,2
[`flutter/flutter#9707`](https://github.com/flutter/flutter/issues/9707),"""Lost connection to device"" randomly when not doing anything in particular",2024-01-24,2024-02-06,43,43,2,0
[`flutter/flutter#120353`](https://github.com/flutter/flutter/issues/120353),"[go_router] ShellRoutes break iOS swipe back navigation",2024-01-24,2024-02-06,26,13,2,1
[`flutter/flutter#45336`](https://github.com/flutter/flutter/issues/45336),"Add TextOverflow  ""ellipsisStart"" , ""ellipsisMiddle""  and ""ellipsisEnd"" ",2024-01-24,2024-02-06,143,31,2,1
[`flutter/flutter#14230`](https://github.com/flutter/flutter/issues/14230),"Provide an easy way to select the version of Flutter to use",2024-01-24,2024-02-06,126,50,2,0
[`flutter/flutter#90612`](https://github.com/flutter/flutter/issues/90612),"[flutter_tools] Add support for running custom scripts",2024-01-24,2024-02-06,33,7,2,0
[`flutter/flutter#84833`](https://github.com/flutter/flutter/issues/84833),"[web][PWA] SafeArea Widget does not work on iOS Safari PWA",2024-01-24,2024-02-06,30,23,2,2
[`flutter/flutter#127852`](https://github.com/flutter/flutter/issues/127852),"[Impeller] Implement Wide Gamut colors for Vulkan",2024-01-24,2024-02-06,20,3,2,0
[`flutter/flutter#98484`](https://github.com/flutter/flutter/issues/98484),"[in_app_purchase][ios] `AppStorePurchaseDetails.pendingCompletePurchase = true` after calling `completePurchase`",2024-01-24,2024-02-06,17,25,2,1
[`flutter/flutter#137394`](https://github.com/flutter/flutter/issues/137394),"[go_router_builder] add onExit parameter",2024-01-24,2024-02-06,15,0,2,0
[`flutter/flutter#61229`](https://github.com/flutter/flutter/issues/61229),"AVIF codec support",2024-01-24,2024-02-06,141,22,2,0
[`flutter/flutter#65065`](https://github.com/flutter/flutter/issues/65065),"Bundling assets only on a specific platform (and remove assets on another platform)",2024-01-24,2024-02-06,104,13,2,0
[`flutter/flutter#61069`](https://github.com/flutter/flutter/issues/61069),"[proposal] ability to change text overflow on the TextField",2024-01-24,2024-02-06,45,22,2,2
[`flutter/flutter#60298`](https://github.com/flutter/flutter/issues/60298),"Pull-Down Menus for iOS 14",2024-01-24,2024-02-06,44,18,2,0
[`flutter/flutter#120874`](https://github.com/flutter/flutter/issues/120874),"Failed assertion node.isRepaintBoundary is not true when combining LayoutBuilder, AnimatedSwitcher and ProgressIndicator",2024-01-24,2024-02-06,33,13,2,0
[`flutter/flutter#54200`](https://github.com/flutter/flutter/issues/54200),"allow Hero widgets to have transitions within the same screen",2024-01-24,2024-02-06,202,23,2,1
